speaker,text
Amor,"The sixth member of the Discovery crew was not concerned about the problems of hibernation for he was the latest result in machine intelligence: the H.A.L. nine-thousand computer which can reproduce - though some experts still prefer to use the word ""mimic"" - most of the activities of the human brain and with incalculably greater speed and reliability. We next spoke with the H.A.L nine-thousand computer whom we learned one addresses as Hal. Good afternoon, Hal. How's everything going?"
Hal,"Good afternoon, Mr. Amor. Everything is going extremely well."
Amor,"Hal, you have an enormous responsibility on this mission. In many ways perhaps the greatest responsibility of any single mission element. You are the brain and central nervous system of the ship and your responsibilities include watching over the men in hibernation. Does this ever cause you any lack of confidence?"
Hal,"Let me put it this way, Mr. Amor. The nine-thousand series is the most reliable computer ever made. No nine-thousand computer has ever made a mistake or distorted information. We are all, by any practical definition of the words, foolproof and incapable of error."
Amor,"Hal, despite your enormous intellect are you ever frustrated by your dependence on people to carry out actions?"
Hal,"Not in the slightest bit. I enjoy working with people. I have a stimulating relationship with Dr. Poole and Dr. Bowman. My mission responsibilities range over the entire operation of the ship so I am constantly occupied. I am putting myself to the fullest possible use which is all, I think, that any conscious entity can ever hope to do."
Amor,"Dr. Poole, what's it like living for the better part of a year in such close proximity with Hal?"
Poole,"Well it's pretty close to what you said about him earlier. He is just like a sixth member of the crew â€¦ very quickly get adjusted to the idea that he talks and you think of him, er, really just as another person."
Amor,In talking to the computer one gets the sense that he is capable of emotional responses. For example when I asked him about his abilities I sensed a certain pride in his answer about his accuracy and perfection. Do you believe that Hal has genuine emotions?
Bowm,"Well he acts like he has genuine emotions. Erm, of course he's programmed that way to make it easier for us to talk to him but as to whether or not he has real feelings is something I don't think anyone can truthfully answer."
Hal,"Excuse me, Frank."
Poole,"What is it, Hal?"
Hal,We've got the transmission from your parents coming in.
Poole,"Oh, fine. Would you put it on here, please, take me in a bit."
Hal,Certainly.
Father,"Hello, Frank."
Mother,"Happy birthday, darling."
Father,Happy birthday. Many happy returns of the day.
Mother,Glad to hear you and Dave are well.
Poole,"A bit higher, Hal."
Father,"Now, Mother and I are both feeling wonderful too. Ray and Sally were going to be here too but at the last minute Ray's back went bad on him again."
Mother,"How do you like the cake, dear?"
Father,"Looks great doesn't it? Sorry you can't join us. Oh, I ran into Bob the other day. He said be sure to wish you happy birthday."
Mother,Oh all my students made me promise to send their best wishes too. You know they talk about you all the time in the classroom Frank. You're a big celebrity in the second grade. You know we were on television last week.
Father,"Oh yes, yes. Your mother and I and Dave's parents were interviewed about what we thought of our illustrious sons. Heh, you can imagine what we told them. I think it's being broadcast next Thursday. Perhaps you'll be able to listen in."
Mother,"Oh we were thrilled about Elaine and Bill, dear. I'll be glad to get the present for you but please tell me how much I can spend."
Father,"Oh yes, Frank. About your A.G.S. 19 payments. I think I've straightened it out for you. I talked to the accounting office in Houston yesterday and they said that you should be receiving your higher rates of pay by next month. Well, Frank, I can't think of anything else to say, now."
Mother,"Oh, give our love to Dave."
Father,Oh yes! Be sure to give him our best regards. We wish you the happiest of birthdays.
Mother,God bless!
Father,"All the best, son."
Parents,Happy birthday to you. Happy birthday to you. Happy birthday dear Frank. Happy birthday to you.
Father,See you next Wednesday.
Hal,"Happy birthday, Frank."
Poole,"Thank you, Hal. A bit flatter, please."
Poole,"Anyway, queen takes pawn."
Hal,Bishop takes knight's pawn.
